Name,State,Established,"Area (in km2)",Notability,"Rivers and lakes inside the national park",Lat,Lon
"Navegaon National Park",Maharashtra,1975,133.88,,,20.9756,80.1652
"Neora Valley National Park","West Bengal",1986,88,,,27.0824,88.7007
"Nokrek National Park",Meghalaya,1986,47.48,"UNESCO World Biosphere Reserve",,25.4475,90.4286
"North Button Island National Park","Andaman and Nicobar Islands",1979,0.44,,,12.3174,93.0712
"Ntangki National Park",Nagaland,1993,202.02,,,25.5497,93.5206
"Orang National Park",Assam,1999,78.81,"aka Rajiv Gandhi National Park (Orang)",,26.5568,92.3279
"Pambadum Shola National Park",Kerala,2003,1.32,"Nilgiri marten, Nilgiri wood pigeon, Nilgiri langur, Nilgiri flycatcher, Blue rock-thrush",,10.1266,77.2582
"Panna National Park","Madhya Pradesh",1981,542.67,,,24.5905,79.9417
"Papikonda National Park","Andhra Pradesh",2008,1012.85,"Royal Bengal Tiger, Leopards, rusty-spotted cat, King Cobra",,17.6677,81.5456
"Pench National Park","Madhya Pradesh",1977,758,"Rudyard Kipling's 'Jungle Book' was set here.",,21.6495,79.2451
"Periyar National Park",Kerala,1982,305,"Malabar parakeet, Malabar grey hornbill, Nilgiri laughing thrush, Nilgiri blue robin, great hornbill, Malabar pied hornbill, lion-tailed macaque, hairy-winged bat",,9.4622,77.2368
"Phawngpui Blue Mountain National Park",Mizoram,1992,50,,,22.651,93.0276
"Pin Valley National Park","Himachal Pradesh",1987,807.36,,,31.9995,77.8824
"Rajaji National Park",Uttarakhand,1983,820,"Mainly known for elephants, tigers, leopards and several species of birds, reptiles and mammals.",,29.9917,78.2896
"Rani Jhansi Marine National Park","Andaman and Nicobar Islands",1996,256.14,,,11.7401,92.6586
"Ranthambore National Park",Rajasthan,1981,392,"Tiger Reserve.",,26.0173,76.5026
"Saddle Peak National Park","Andaman and Nicobar Islands",1979,32.54,,,13.158,93.0063
"Salim Ali National Park","Jammu and Kashmir",1992,9.07,,,34.0753,74.8023
"Sanjay National Park","Madhya Pradesh",1981,466.7,,,23.8678,82.0625
"Sanjay Gandhi National Park",Maharashtra,1969,104,", Indian Leopard, Rhesus Macaque, Bonnet Macaque, Spotted Deer, Hanuman Langur, Indian Flying Fox, Indian Hare, Barking Deer, Porcupine, Palm Civet, Mouse Deer",,19.2288,72.9182
"Sariska Tiger Reserve",Rajasthan,1955,866,,,27.3104,76.4389
"Satpura National Park","Madhya Pradesh",1981,524,,,22.5033,78.4359
"Silent Valley National Park",Kerala,1980,237,"Indian bison, Travancore flying squirrel, Salim Ali's fruit bat, Stripe-necked mongoose, Blue-winged parakeet, Crimson-backed sunbird","Kunthipuzha River",11.0641,76.5378
"Simbalbara National Park","Himachal Pradesh",2010,27.88,,,30.4395,77.4728
"Sirohi (Shirui) National Park",Manipur,1982,41.3,,,25.1067,94.4569
"Simlipal National Park",Odisha,1980,2750,"Tiger, leopard, Asian elephant, sambar, barking deer, gaur, jungle cat, wild boar",,21.5931,86.2945
"Singalila National Park","West Bengal",1986,78.6,,,27.0371,88.0762
"South Button Island National Park","Andaman and Nicobar Islands",1987,0.03,"Dugong, dolphin, water monitor lizard, blue whale and smallest National park in India",,12.2242,93.0203
"Sri Venkateswara National Park","Andhra Pradesh",1989,353,,,13.6246,79.3651
"Sultanpur National Park",Haryana,1989,1.43,,,28.4681,76.8918
"Sundarbans National Park","West Bengal",1984,1330.12,"UNESCO World Heritage Site",,21.8359,88.8842
"Tadoba National Park",Maharashtra,1955,625,Tiger,,20.2484,79.3607
"Valley of Flowers National Park",Uttarakhand,1982,87.5,"UNESCO World Heritage Site",,30.728,79.6053
"Valmiki National Park",Bihar,1976,898.45,,,27.38,84.1435
"Vansda National Park",Gujarat,1979,23.99,,,20.7638,73.4861
"Van Vihar National Park","Madhya Pradesh",1983,4.48,,,23.229,77.364
