Name,Lat,Lon
Mauritius,-20.3484, 57.5522
Fiji,-17.7134, 178.0650
Cyprus,35.1264, 33.4299
"Falkland Islands",-51.7963,-59.5236
Iceland,64.9631,-19.0208
Maldives,3.2028, 73.2207
Malagasy,-18.7669, 46.8691
Tasmania,-41.4545, 145.9707
Hawaii,19.8968,-155.5828
Jamaica,18.1096,-77.2975
Madagascar,-18.7669, 46.8691
Sicily,37.6000, 14.0154
"Long Island",40.7891,-73.1350
"Timor Island",-9.8628, 124.3310
"Stewart Island",-47.0103,167.8272
